--disable-option-checking,--disable-assembler,--disable-xzdec,--disable-lzmadec,--disable-lzmainfo,--disable-lzma-links,--disable-scripts,--disable-doc,--disable-silent-rules,--disable-dependency-tracking,--disable-libtool-lock,--disable-nls,--disable-rpath,--disable-largefile,--enable-debug,--enable-encoders=lzma1,"--enable-encoders=lzma1,lzma2","--enable-encoders=lzma1,delta","--enable-encoders=lzma1,x86","--enable-encoders=lzma1,powerpc","--enable-encoders=lzma1,ia64","--enable-encoders=lzma1,arm","--enable-encoders=lzma1,armthumb","--enable-encoders=lzma1,sparc",--enable-decoders=lzma1,"--enable-decoders=lzma1,lzma2","--enable-decoders=lzma1,delta","--enable-decoders=lzma1,x86","--enable-decoders=lzma1,powerpc","--enable-decoders=lzma1,ia64","--enable-decoders=lzma1,arm","--enable-decoders=lzma1,armthumb","--enable-decoders=lzma1,sparc",--enable-match-finders=hc3,--enable-match-finders=hc4,--enable-match-finders=bt2,--enable-match-finders=bt3,--enable-match-finders=bt4,--enable-checks=crc32,"--enable-checks=crc32,crc64","--enable-checks=crc32,sha256",--enable-small,--enable-threads=yes,--enable-threads=no,--enable-threads=posix,--enable-assume-ram=128,--enable-symbol-versions,--enable-sandbox=auto,--enable-sandbox=no,--enable-sandbox=capsicum,--enable-silent-rules,--enable-dependency-tracking,--enable-fast-install,--enable-fast-install=no,--enable-unaligned-access,--enable-unsafe-type-punning,--with-pic=PIC,--with-pic=non-PIC,--with-aix-soname=aix,--with-aix-soname=svr4,--with-aix-soname=both,--with-gnu-ld,--with-gnu-ld=no,--without-libiconv-prefix,--without-libintl-prefix,binary-size,unit,nr-of-gadgets
true,true,false,true,true,true,false,false,true,true,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,true,true,true,true,true,true,false,false,true,false,false,true,true,false,false,true,1053712,bytes,7498
true,false,false,true,false,false,true,true,false,false,false,true,true,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,true,true,false,false,false,false,false,false,true,true,false,false,true,false,true,false,true,false,false,true,true,false,true,false,1053712,bytes,7498
false,false,true,true,true,false,true,false,true,true,true,true,true,false,true,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,true,false,true,false,false,true,true,false,true,true,true,false,true,true,false,false,false,false,true,true,1198976,bytes,8223
false,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,true,false,true,false,true,false,true,true,false,false,true,false,true,false,false,false,1198976,bytes,8223
true,false,true,true,false,false,false,true,false,false,true,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,true,false,false,true,true,false,true,false,false,false,true,false,false,false,true,true,1198976,bytes,8223
true,true,false,false,false,false,true,true,false,true,false,true,false,true,true,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,true,true,false,false,true,false,false,false,false,true,false,true,true,false,false,true,false,false,false,1154328,bytes,7867
true,false,true,false,false,true,false,true,true,true,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,true,false,true,false,false,false,false,false,true,true,true,false,false,true,false,true,false,false,false,1085256,bytes,8138
true,false,false,true,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,true,false,false,true,true,false,true,false,false,true,false,false,true,false,false,false,false,true,1082784,bytes,7836
true,false,true,true,true,true,true,true,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,false,true,false,false,true,true,true,true,false,false,false,false,false,true,false,true,false,false,false,true,false,false,false,false,true,1007336,bytes,7463
true,true,true,false,false,true,true,false,false,false,true,false,true,true,true,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,true,false,true,false,true,false,false,true,false,false,false,true,true,false,true,false,false,false,false,false,true,1154232,bytes,7824
false,true,true,false,true,true,false,true,true,false,false,true,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,true,false,false,true,false,false,false,true,true,true,true,false,true,false,false,false,false,false,true,false,false,false,971248,bytes,7327
false,true,false,false,true,true,false,false,false,true,false,true,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,false,false,true,false,false,true,false,true,false,false,false,true,false,false,false,true,false,false,true,false,false,false,false,false,true,1079128,bytes,8064
true,true,true,false,true,true,true,true,false,false,true,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,true,false,false,false,true,false,false,true,false,true,true,false,false,true,false,false,false,false,true,true,1079128,bytes,8064
true,false,false,false,false,true,true,false,false,true,false,true,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,true,false,false,true,false,false,false,true,false,true,false,true,false,false,false,false,false,1151272,bytes,8273
false,false,false,false,false,true,false,true,false,true,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,true,false,false,false,true,false,false,false,false,true,false,true,false,true,true,false,false,true,false,true,false,true,false,1002224,bytes,7469
true,true,true,true,false,false,true,true,false,true,false,true,true,true,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,true,false,false,false,true,true,false,false,false,false,true,true,false,true,false,false,true,true,false,false,true,false,false,false,986264,bytes,7321
true,true,false,false,true,false,false,false,false,false,true,false,true,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,true,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,986264,bytes,7321
true,true,false,true,false,false,false,false,true,false,false,true,false,true,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,true,true,true,false,true,true,false,false,true,false,true,true,1153160,bytes,8117
false,false,true,false,false,true,true,true,true,false,false,false,true,true,true,false,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,true,false,false,false,false,true,false,false,false,true,true,false,true,false,true,false,false,false,true,true,false,true,false,1084160,bytes,7585
true,true,false,true,true,false,true,false,true,true,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,true,true,true,false,true,false,false,false,true,true,false,true,false,true,false,true,false,false,false,true,true,1082672,bytes,7708
